2026-07-01 11:15:36,524 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:15:36,524 [INFO] Logged in as: VICTUS
2026-07-01 11:15:44,162 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:51,359 [WARNING] Attempt 2/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,570 [WARNING] Attempt 3/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,571 [ERROR] All retry attempts failed. Skipping this reading.
2026-07-01 11:16:09,760 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:16:16,970 [INFO] Monitoring agent stopped by user.
2026-07-01 11:17:02,027 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:17:02,027 [INFO] Logged in as: VICTUS
2026-07-01 11:21:55,633 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 21.3, 'ram': 83.6, 'disk': 58.7, 'network': 1.51, 'timestamp': '2026-07-01T05:51:55.277213+00:00'}
2026-07-01 11:22:02,034 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 11.7, 'ram': 83.2, 'disk': 58.7, 'network': 1.42, 'timestamp': '2026-07-01T05:52:01.649539+00:00'}
2026-07-01 11:22:08,350 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 15.8, 'ram': 83.5, 'disk': 58.7, 'network': 15.09, 'timestamp': '2026-07-01T05:52:08.043710+00:00'}
2026-07-01 11:22:14,830 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.3, 'ram': 84.1, 'disk': 58.7, 'network': 11.81, 'timestamp': '2026-07-01T05:52:14.362391+00:00'}
2026-07-01 11:22:21,154 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 7.2, 'ram': 84.1, 'disk': 58.7, 'network': 25.3, 'timestamp': '2026-07-01T05:52:20.845856+00:00'}
2026-07-01 11:22:27,481 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 6.7, 'ram': 84.2, 'disk': 58.7, 'network': 1.49, 'timestamp': '2026-07-01T05:52:27.168422+00:00'}
2026-07-01 11:22:33,735 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.1, 'ram': 83.6, 'disk': 58.7, 'network': 1.59, 'timestamp': '2026-07-01T05:52:33.495642+00:00'}
2026-07-01 11:22:40,117 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 12.9, 'ram': 83.8, 'disk': 58.7, 'network': 18.95, 'timestamp': '2026-07-01T05:52:39.777765+00:00'}
2026-07-01 11:22:46,518 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 12.3, 'ram': 83.9, 'disk': 58.7, 'network': 2.45, 'timestamp': '2026-07-01T05:52:46.131839+00:00'}
2026-07-01 11:22:52,929 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 4.3, 'ram': 84.5, 'disk': 58.7, 'network': 8.78, 'timestamp': '2026-07-01T05:52:52.533078+00:00'}
2026-07-01 11:22:59,242 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 26.7, 'ram': 85.8, 'disk': 58.7, 'network': 1.51, 'timestamp': '2026-07-01T05:52:58.944732+00:00'}
2026-07-01 11:23:05,545 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 21.0, 'ram': 85.1, 'disk': 58.7, 'network': 30.46, 'timestamp': '2026-07-01T05:53:05.255786+00:00'}
2026-07-01 11:23:11,883 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 12.7, 'ram': 85.1, 'disk': 58.7, 'network': 12.04, 'timestamp': '2026-07-01T05:53:11.557097+00:00'}
2026-07-01 11:23:18,183 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 14.1, 'ram': 85.3, 'disk': 58.7, 'network': 15.41, 'timestamp': '2026-07-01T05:53:17.896857+00:00'}
2026-07-01 11:23:24,505 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 16.9, 'ram': 85.5, 'disk': 58.7, 'network': 23.39, 'timestamp': '2026-07-01T05:53:24.197341+00:00'}
2026-07-01 11:23:30,847 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 14.2, 'ram': 85.5, 'disk': 58.7, 'network': 1.78, 'timestamp': '2026-07-01T05:53:30.518545+00:00'}
2026-07-01 11:23:37,135 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 9.7, 'ram': 85.2, 'disk': 58.7, 'network': 7.48, 'timestamp': '2026-07-01T05:53:36.858822+00:00'}
2026-07-01 11:23:43,490 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 9.1, 'ram': 85.1, 'disk': 58.7, 'network': 5.14, 'timestamp': '2026-07-01T05:53:43.149158+00:00'}
2026-07-01 11:23:49,894 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 21.6, 'ram': 84.9, 'disk': 58.7, 'network': 7.43, 'timestamp': '2026-07-01T05:53:49.504345+00:00'}
2026-07-01 11:23:56,219 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 15.5, 'ram': 84.9, 'disk': 58.7, 'network': 1.72, 'timestamp': '2026-07-01T05:53:55.908632+00:00'}
2026-07-01 11:24:02,615 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 10.5, 'ram': 84.8, 'disk': 58.7, 'network': 1.67, 'timestamp': '2026-07-01T05:54:02.232517+00:00'}
2026-07-01 11:24:06,146 [INFO] Monitoring agent stopped by user.
2026-07-01 11:24:57,359 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:24:57,360 [INFO] Logged in as: VICTUS
2026-07-01 11:24:59,787 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 6.0, 'ram': 85.3, 'disk': 58.7, 'network': 5.64, 'timestamp': '2026-07-01T05:54:59.385387+00:00'}
2026-07-01 11:25:06,191 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 15.2, 'ram': 85.3, 'disk': 58.7, 'network': 4.73, 'timestamp': '2026-07-01T05:55:05.799869+00:00'}
